song_id	title	length_seconds	song_release_date	genre_name	artist_name	album_name	album_release_date	track_number
1	A Way Of The Good Life	278	43400	Pop	Jay Mack	Dime in two dozen	43454	6
2	Admiring His Sugar	173	41907	Pop	Jay Mack	Dime in two dozen	43454	7
3	Afternoon And Dreams	346	37025	Rap	Lindsay Lawrence	Apparatus	44162	1
4	All Of Time	237	38280	Rock	Tanya Vice	Chip off the old block	44421	3
5	Altered And Mic	180	37319	Hip Hop	Herman Nolan	Blinded by fame	43425	4
6	Amused By His Mind	216	38305	Pop	Jay Mack	Dime in two dozen	43454	8
7	And Angel	219	41238	Rap	Lindsay Lawrence	Apparatus	44162	2
8	And Paradise	283	38814	Rap	Lindsay Lawrence	Apparatus	44162	3
9	Angel Of Lost Love	292	36677	Rap	Lindsay Lawrence	Apparatus	44162	4
10	Angel Of The Ages	175	42391	Pop	Jay Mack	Dime in two dozen	43454	9
11	Autumn And Angel	327	43942	Jazz	Joel Nicholas	Glass houses	43968	4
12	"Babe, Do You Like Me?"	141	42037	Pop	Jay Mack	Dime in two dozen	43454	10
13	"Babe, Don't You Remember?"	244	37820	Country	Veil	Feast of nothing	43123	1
14	"Babe, Feel The Rhythm"	163	38293	Rock	Brooke Dusk	Chip off the old block	44421	4
15	"Babe, I Love The Road"	241	39248	Country	Veil	Feast of nothing	43123	2
16	"Babe, Let's Go"	273	42974	Hip Hop	Herman Nolan	Blinded by fame	43425	5
17	"Babe, Let's Go Wild"	262	38824	Rock	Brooke Dusk	Chip off the old block	44421	5
18	"Babe, Smile With Me"	213	41245	Pop	Jay Mack	Dime in two dozen	43454	11
19	"Babe, Take My Breath Away"	250	43724	Pop	Gerard Gilmore	Beggars and thieves	44026	1
20	"Babe, We Got It"	317	38057	Pop	Gerard Gilmore	Beggars and thieves	44026	2
21	"Babe, You're My World"	306	43356	Pop	Gerard Gilmore	Beggars and thieves	44026	3
22	"Baby, I Love You Forever"	248	43761	Rap	Lindsay Lawrence	Apparatus	44162	5
23	"Baby, I Miss You"	296	37923	Rock	Brooke Dusk	Chip off the old block	44421	6
24	"Baby, I Think I Like You"	350	39910	Rap	Lindsay Lawrence	Apparatus	44162	6
25	"Baby, I'm A Cowboy"	201	39945	Country	Veil	Feast of nothing	43123	3
26	"Baby, Let's Start This Party"	205	41005	Pop	Gerard Gilmore	Beggars and thieves	44026	4
27	"Baby, Remember Yesterday?"	218	41901	Rock	Brooke Dusk	Chip off the old block	44421	7
28	"Baby, Set Me Free"	153	41025	Blues	Vessel	Curtain fall	42905	1
